"SecretarialAreaCode","SecretarialAreaTitle","AgencyCode","AgencyTitle","bill","year","type","amount"
"03","Education","236","Virginia Commonwealth University","1","2022","NGF",1063693833
"03","Education","236","Virginia Commonwealth University","1","2022","Total",1320293661
"03","Education","236","Virginia Commonwealth University","1","2023","GF",308887044
"03","Education","236","Virginia Commonwealth University","1","2023","NGF",1082527680
"03","Education","236","Virginia Commonwealth University","1","2023","Total",1391414724
"03","Education","236","Virginia Commonwealth University","1","2024","GF",317262944
"03","Education","236","Virginia Commonwealth University","1","2024","NGF",1082737680
"03","Education","236","Virginia Commonwealth University","1","2024","Total",1400000624
"03","Education","238","Virginia Museum of Fine Arts","1283","2019","GF",10119079
"03","Education","238","Virginia Museum of Fine Arts","1283","2019","NGF",31860017
"03","Education","238","Virginia Museum of Fine Arts","1283","2019","Total",41979096
"03","Education","238","Virginia Museum of Fine Arts","1283","2020","GF",10640835
"03","Education","238","Virginia Museum of Fine Arts","1283","2020","NGF",31860017
"03","Education","238","Virginia Museum of Fine Arts","1283","2020","Total",42500852
"03","Education","238","Virginia Museum of Fine Arts","1","2021","GF",11231871
"03","Education","238","Virginia Museum of Fine Arts","1","2021","NGF",32661012
"03","Education","238","Virginia Museum of Fine Arts","1","2021","Total",43892883
"03","Education","238","Virginia Museum of Fine Arts","1","2022","GF",12236195
"03","Education","238","Virginia Museum of Fine Arts","1","2022","NGF",32661012
"03","Education","238","Virginia Museum of Fine Arts","1","2022","Total",44897207
"03","Education","238","Virginia Museum of Fine Arts","1","2023","GF",13333920
"03","Education","238","Virginia Museum of Fine Arts","1","2023","NGF",32891074
"03","Education","238","Virginia Museum of Fine Arts","1","2023","Total",46224994
"03","Education","238","Virginia Museum of Fine Arts","1","2024","GF",12195032
"03","Education","238","Virginia Museum of Fine Arts","1","2024","NGF",32891074
"03","Education","238","Virginia Museum of Fine Arts","1","2024","Total",45086106
"03","Education","239","Frontier Culture Museum of Virginia","1283","2019","GF",1891936
"03","Education","239","Frontier Culture Museum of Virginia","1283","2019","NGF",705780
"03","Education","239","Frontier Culture Museum of Virginia","1283","2019","Total",2597716
"03","Education","239","Frontier Culture Museum of Virginia","1283","2020","GF",2281936
"03","Education","239","Frontier Culture Museum of Virginia","1283","2020","NGF",705780
"03","Education","239","Frontier Culture Museum of Virginia","1283","2020","Total",2987716
"03","Education","239","Frontier Culture Museum of Virginia","1","2021","GF",2379699
"03","Education","239","Frontier Culture Museum of Virginia","1","2021","NGF",735699
"03","Education","239","Frontier Culture Museum of Virginia","1","2021","Total",3115398
"03","Education","239","Frontier Culture Museum of Virginia","1","2022","GF",2442262
